web-scraper-order,web-scraper-start-url,size
"1728486848-151","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","665.2 Mbytes"
"1728486848-152","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","666.5 Mbytes"
"1728486848-153","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","656.3 Mbytes"
"1728486848-154","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","686.4 Mbytes"
"1728486848-155","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","675.3 Mbytes"
"1728486848-156","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","705.7 Mbytes"
"1728486848-157","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","705.7 Mbytes"
"1728486848-158","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","655.7 Mbytes"
"1728486848-159","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","695.4 Mbytes"
"1728486848-160","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","665.2 Mbytes"
"1728486848-161","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","677.4 Mbytes"
"1728486848-162","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","649.9 Mbytes"
"1728486848-163","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","665.9 Mbytes"
"1728486848-164","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","668.4 Mbytes"
"1728486848-165","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","653.5 Mbytes"
"1728486848-166","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","682.0 Mbytes"
"1728486848-167","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","677.5 Mbytes"
"1728486848-168","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","703.5 Mbytes"
"1728486848-169","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","701.5 Mbytes"
"1728486848-170","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","635.5 Mbytes"
"1728486848-171","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","694.1 Mbytes"
"1728486848-172","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","663.2 Mbytes"
"1728486848-173","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","677.2 Mbytes"
"1728486848-174","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","650.6 Mbytes"
"1728486848-175","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","662.7 Mbytes"
"1728486848-176","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","669.9 Mbytes"
"1728486848-177","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","652.4 Mbytes"
"1728486848-178","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","683.3 Mbytes"
"1728486848-179","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","674.9 Mbytes"
"1728486848-180","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","700.9 Mbytes"
"1728486848-181","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","706.1 Mbytes"
"1728486848-182","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","634.4 Mbytes"
"1728486848-183","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","699.4 Mbytes"
"1728486848-184","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","666.8 Mbytes"
"1728486848-185","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","680.3 Mbytes"
