name,url,p1,p2,p3,p4
acpcp.2020.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2020.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2021.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2021.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2022.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2022.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2023.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2023.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
acpcp.2024.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/acpcp.2024.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1979.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1979.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1980.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1980.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1981.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1981.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1982.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1982.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1983.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1983.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1984.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1984.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1985.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1985.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1986.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1986.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1987.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1987.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1988.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1988.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1989.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1989.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1990.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1990.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1991.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1991.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1992.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1992.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1993.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1993.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1994.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1994.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1995.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1995.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1996.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1996.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
